iter	Passed	Remaining
402	10316	15282
403	10339	15253
404	10367	15231
405	10392	15205
406	10420	15183
407	10449	15162
408	10478	15140
409	10503	15114
410	10531	15092
411	10556	15065
412	10582	15041
413	10607	15013
414	10632	14988
415	10657	14962
416	10677	14928
417	10700	14899
418	10721	14866
419	10746	14840
420	10767	14808
421	10792	14781
422	10815	14753
423	10835	14720
424	10861	14695
425	10886	14668
426	10910	14640
427	10948	14632
428	10990	14628
429	11030	14622
430	11074	14620
431	11109	14607
432	11136	14583
433	11164	14559
434	11185	14528
435	11208	14498
436	11235	14474
437	11258	14446
438	11286	14422
439	11327	14417
440	11364	14405
441	11392	14382
442	11420	14359
443	11448	14336
444	11500	14343
445	11542	14337
446	11581	14327
447	11621	14319
448	11654	14301
449	11685	14282
450	11716	14262
451	11746	14241
452	11778	14222
453	11809	14202
454	11838	14180
455	11878	14170
456	11916	14158
457	11947	14138
458	11975	14115
459	12000	14087
460	12029	14065
461	12063	14047
462	12089	14022
463	12123	14004
464	12151	13980
465	12184	13962
466	12217	13943
467	12251	13927
468	12291	13916
469	12334	13909
470	12388	13913
471	12422	13896
472	12456	13878
473	12498	13869
474	12524	13843
475	12557	13823
476	12596	13811
477	12645	13809
478	12726	13842
479	12770	13834
480	12797	13808
481	12824	13782
482	12870	13776
483	12903	13756
484	12938	13738
485	12974	13721
486	13007	13701
487	13037	13679
488	13070	13658
489	13097	13632
490	13144	13626
491	13169	13597
492	13199	13574
493	13226	13547
494	13254	13522
495	13287	13501
496	13318	13479
497	13367	13475
498	13409	13463
499	13446	13446
500	13483	13429
501	13518	13410
502	13550	13388
503	13580	13364
504	13616	13346
505	13653	13330
506	13688	13310
507	13718	13286
508	13747	13260
509	13771	13231
510	13796	13202
511	13826	13178
512	13858	13156
513	13884	13128
514	13913	13102
515	13940	13075
516	13964	13046
517	13988	13015
518	14023	12997
519	14057	12976
520	14100	12964
521	14137	12946
522	14174	12927
523	14204	12902
524	14245	12888
525	14284	12872
526	14316	12849
527	14344	12823
528	14371	12795
529	14397	12767
530	14420	12736
531	14451	12712
532	14479	12686
533	14506	12659
534	14531	12630
535	14553	12598
536	14575	12567
537	14599	12537
538	14625	12508
539	14646	12476
540	14669	12445
