iter	Passed	Remaining
251	4210	12496
252	4224	12472
253	4237	12446
254	4252	12423
255	4267	12402
256	4284	12387
257	4297	12360
258	4313	12339
259	4327	12317
260	4342	12296
261	4357	12275
262	4374	12257
263	4389	12236
264	4404	12214
265	4422	12204
266	4438	12185
267	4452	12162
268	4467	12140
269	4481	12116
270	4498	12100
271	4514	12082
272	4533	12073
273	4548	12051
274	4562	12028
275	4577	12007
276	4593	11988
277	4609	11970
278	4625	11952
279	4641	11935
280	4657	11916
281	4696	11956
282	4714	11944
283	4734	11936
284	4750	11917
285	4767	11902
286	4782	11881
287	4799	11865
288	4814	11844
289	4828	11822
290	4846	11807
291	4861	11788
292	4876	11767
293	4894	11752
294	4909	11732
295	4926	11717
296	4940	11695
297	4964	11693
298	4979	11674
299	4997	11660
300	5012	11639
301	5030	11625
302	5046	11608
303	5061	11587
304	5077	11570
305	5095	11555
306	5111	11539
307	5130	11527
308	5145	11506
309	5167	11502
310	5192	11504
311	5210	11490
312	5227	11474
313	5246	11462
314	5276	11473
315	5291	11454
316	5309	11440
317	5329	11430
318	5348	11417
319	5367	11404
320	5383	11386
321	5398	11366
322	5414	11349
323	5430	11330
324	5448	11315
325	5463	11295
326	5478	11275
327	5493	11255
328	5507	11232
329	5521	11210
330	5536	11189
331	5552	11171
332	5567	11152
333	5582	11130
334	5597	11110
335	5611	11089
336	5626	11070
337	5642	11051
338	5656	11030
339	5671	11009
340	5685	10988
341	5701	10969
342	5715	10947
343	5730	10927
344	5744	10907
345	5757	10883
346	5774	10867
347	5788	10845
348	5805	10829
349	5823	10815
350	5841	10800
351	5860	10788
352	5877	10773
353	5897	10761
354	5917	10751
355	5932	10732
356	5952	10721
357	5975	10715
358	5996	10706
359	6016	10696
360	6033	10680
361	6052	10667
362	6069	10650
363	6086	10633
364	6101	10615
365	6115	10594
366	6131	10574
367	6149	10560
368	6167	10546
369	6181	10526
370	6200	10511
371	6214	10490
372	6229	10472
373	6243	10450
374	6258	10430
375	6274	10413
376	6291	10396
377	6308	10381
378	6322	10359
379	6338	10341
380	6354	10324
381	6371	10307
382	6387	10290
383	6406	10276
384	6419	10254
385	6436	10237
386	6452	10219
387	6470	10206
388	6488	10190
389	6510	10183
390	6526	10164
391	6541	10146
392	6558	10129
393	6575	10113
394	6590	10094
395	6609	10081
396	6627	10065
397	6644	10049
398	6660	10031
399	6678	10018
400	6697	10004
401	6714	9988
402	6732	9972
403	6747	9954
404	6765	9939
405	6784	9925
406	6801	9910
407	6818	9893
408	6837	9879
409	6855	9864
410	6870	9846
411	6887	9829
412	6906	9815
413	6924	9800
414	6941	9784
415	6960	9771
416	6976	9753
417	6993	9737
418	7007	9717
419	7026	9702
420	7042	9685
421	7062	9672
422	7079	9656
423	7093	9636
424	7109	9618
425	7126	9602
426	7142	9585
427	7161	9570
428	7174	9549
429	7192	9534
430	7206	9514
431	7222	9496
432	7239	9479
433	7255	9462
434	7270	9443
435	7285	9424
436	7303	9409
437	7321	9394
438	7341	9381
439	7360	9367
440	7378	9352
441	7396	9337
442	7412	9320
443	7428	9302
444	7447	9288
445	7465	9273
446	7480	9254
447	7497	9237
448	7512	9219
449	7530	9203
450	7548	9189
451	7566	9173
452	7584	9158
453	7601	9141
454	7618	9125
455	7637	9111
456	7654	9095
457	7672	9079
458	7688	9062
459	7703	9043
460	7719	9025
461	7738	9011
462	7754	8993
463	7772	8978
464	7785	8957
465	7802	8941
466	7819	8924
467	7833	8904
468	7851	8889
469	7868	8873
470	7887	8858
471	7903	8841
472	7920	8824
473	7936	8807
474	7956	8794
475	7983	8788
476	8008	8781
477	8029	8768
478	8051	8757
479	8070	8742
480	8085	8724
481	8100	8705
482	8115	8686
483	8133	8671
484	8152	8657
485	8170	8641
486	8184	8621
487	8197	8601
488	8211	8581
489	8225	8561
490	8241	8543
491	8256	8524
492	8274	8509
493	8290	8491
494	8306	8474
495	8322	8456
496	8338	8439
497	8355	8422
498	8370	8404
499	8389	8389
500	8405	8371
501	8421	8354
502	8436	8335
503	8449	8315
504	8466	8298
505	8484	8283
506	8498	8263
507	8513	8245
508	8530	8228
509	8545	8210
510	8560	8192
511	8578	8176
512	8597	8161
513	8613	8144
514	8629	8127
515	8645	8109
516	8660	8090
517	8673	8071
518	8691	8054
519	8707	8037
520	8722	8018
521	8736	8000
522	8754	7984
523	8768	7965
524	8785	7948
525	8802	7931
526	8816	7913
527	8831	7894
528	8848	7877
529	8868	7864
530	8882	7845
531	8901	7830
532	8917	7813
533	8937	7799
534	8959	7786
535	8976	7770
536	8997	7757
537	9014	7741
538	9033	7726
539	9047	7707
540	9062	7689
541	9078	7671
542	9094	7653
543	9112	7638
544	9130	7622
545	9147	7606
546	9166	7591
547	9182	7574
548	9201	7558
549	9218	7542
550	9240	7529
551	9255	7512
552	9274	7496
553	9288	7477
554	9307	7462
555	9324	7446
556	9342	7430
557	9357	7412
558	9374	7395
559	9390	7377
560	9406	7360
561	9423	7344
562	9437	7325
563	9455	7309
564	9473	7293
565	9493	7279
566	9512	7264
567	9530	7248
568	9546	7231
569	9566	7216
570	9584	7201
571	9602	7184
572	9622	7170
573	9642	7156
574	9659	7139
575	9676	7123
576	9693	7106
577	9708	7087
578	9726	7072
579	9744	7056
580	9760	7038
581	9777	7022
582	9794	7005
583	9811	6989
584	9826	6971
585	9841	6953
586	9857	6935
587	9874	6918
588	9891	6901
589	9906	6884
590	9921	6865
591	9936	6848
592	9952	6831
593	9967	6812
594	9982	6794
595	9998	6777
596	10016	6761
597	10033	6745
598	10050	6728
599	10067	6711
600	10083	6694
601	10101	6678
602	10119	6662
603	10136	6645
604	10154	6629
605	10170	6612
606	10187	6595
607	10205	6579
608	10221	6562
609	10237	6545
610	10253	6527
611	10270	6511
612	10287	6495
613	10305	6478
614	10322	6462
615	10339	6445
616	10355	6428
617	10370	6409
618	10388	6393
619	10402	6375
620	10417	6357
621	10439	6344
622	10453	6325
623	10470	6309
624	10484	6290
625	10501	6273
626	10518	6257
627	10532	6238
628	10548	6222
629	10569	6207
630	10603	6200
631	10620	6184
632	10638	6167
633	10655	6151
634	10672	6134
635	10690	6118
636	10708	6102
637	10725	6085
638	10739	6067
639	10753	6049
640	10771	6032
641	10787	6015
642	10805	5999
643	10822	5982
644	10839	5965
645	10855	5948
646	10872	5931
647	10890	5915
648	10906	5898
649	10922	5881
650	10935	5862
651	10951	5845
652	10970	5829
653	10989	5813
654	11005	5796
655	11020	5779
656	11036	5761
657	11054	5745
658	11070	5728
659	11088	5712
660	11107	5696
661	11125	5680
662	11141	5663
663	11159	5647
664	11175	5629
665	11194	5614
666	11211	5597
667	11227	5580
668	11246	5564
669	11262	5547
670	11279	5530
671	11293	5512
672	11307	5494
673	11325	5477
674	11344	5462
675	11361	5445
676	11379	5429
677	11394	5411
678	11409	5394
679	11425	5376
680	11443	5360
681	11457	5342
682	11473	5325
683	11489	5307
684	11502	5289
685	11518	5272
686	11539	5257
687	11555	5240
688	11572	5223
689	11588	5206
690	11602	5188
691	11620	5172
692	11635	5154
693	11648	5136
694	11663	5118
695	11678	5101
696	11694	5084
697	11712	5067
698	11730	5051
699	11747	5034
700	11763	5017
701	11775	4998
702	11792	4981
703	11808	4964
704	11824	4947
705	11838	4929
706	11852	4912
707	11869	4895
708	11886	4878
709	11901	4861
710	11916	4843
711	11933	4827
712	11947	4809
713	11964	4792
714	11981	4775
715	11997	4758
716	12012	4741
717	12030	4724
718	12044	4707
719	12061	4690
720	12077	4673
721	12094	4656
722	12108	4639
723	12121	4621
724	12137	4604
725	12153	4586
726	12167	4569
727	12183	4552
728	12200	4535
729	12216	4518
730	12229	4500
731	12242	4482
732	12258	4465
733	12274	4448
734	12290	4431
735	12304	4413
736	12318	4395
737	12332	4378
738	12349	4361
739	12366	4345
740	12384	4328
741	12399	4311
742	12417	4295
743	12432	4277
744	12448	4260
745	12464	4244
746	12481	4227
747	12497	4210
748	12514	4193
749	12531	4177
750	12545	4159
751	12561	4142
752	12576	4125
753	12593	4108
754	12611	4092
755	12627	4075
756	12644	4059
757	12658	4041
758	12672	4023
759	12686	4006
760	12702	3989
761	12718	3972
762	12733	3955
763	12751	3938
764	12770	3922
765	12784	3905
766	12799	3888
767	12816	3871
768	12834	3855
769	12850	3838
770	12866	3821
771	12882	3804
772	12898	3787
773	12916	3771
774	12932	3754
775	12947	3737
776	12965	3721
777	12980	3703
778	12997	3687
779	13013	3670
780	13028	3653
781	13044	3636
782	13066	3621
783	13088	3605
784	13112	3591
785	13130	3574
786	13148	3558
787	13166	3542
788	13183	3525
789	13198	3508
790	13216	3492
791	13231	3475
792	13245	3457
793	13261	3440
794	13280	3424
795	13294	3407
796	13311	3390
797	13328	3373
798	13344	3357
799	13360	3340
800	13379	3324
801	13397	3307
802	13417	3291
803	13434	3275
804	13453	3259
805	13471	3242
806	13490	3226
807	13510	3210
808	13530	3194
809	13546	3177
810	13565	3161
811	13587	3145
812	13605	3129
813	13623	3113
814	13640	3096
815	13656	3079
816	13671	3062
817	13687	3045
818	13703	3028
819	13720	3011
820	13735	2994
821	13751	2977
822	13765	2960
823	13778	2943
824	13793	2925
825	13807	2908
826	13824	2891
827	13839	2874
828	13853	2857
829	13871	2841
830	13887	2824
831	13906	2807
832	13923	2791
833	13938	2774
834	13962	2758
835	13983	2743
836	14002	2726
837	14024	2711
838	14043	2694
839	14062	2678
840	14081	2662
841	14099	2645
842	14113	2628
843	14129	2611
844	14145	2594
845	14162	2578
846	14179	2561
847	14193	2544
848	14209	2527
849	14227	2510
850	14244	2494
851	14261	2477
852	14275	2460
853	14288	2442
854	14305	2426
855	14323	2409
856	14340	2392
857	14356	2375
858	14372	2359
859	14389	2342
860	14402	2325
861	14419	2308
862	14436	2291
863	14451	2274
864	14467	2257
865	14484	2241
866	14501	2224
867	14519	2207
868	14538	2191
869	14555	2174
870	14571	2158
871	14587	2141
872	14603	2124
873	14624	2108
874	14642	2091
875	14660	2075
876	14680	2058
877	14699	2042
878	14718	2026
879	14735	2009
880	14748	1992
881	14763	1975
882	14777	1958
883	14792	1941
884	14806	1924
885	14825	1907
886	14840	1890
887	14856	1873
888	14874	1857
889	14890	1840
890	14906	1823
891	14923	1806
892	14941	1790
893	14958	1773
894	14974	1756
895	14989	1739
896	15005	1723
897	15019	1706
898	15035	1689
899	15051	1672
900	15065	1655
901	15083	1638
902	15100	1622
903	15114	1605
904	15128	1588
905	15146	1571
906	15163	1554
907	15179	1538
908	15196	1521
909	15215	1504
910	15233	1488
911	15250	1471
912	15267	1454
913	15288	1438
914	15308	1422
915	15326	1405
916	15345	1388
917	15362	1372
918	15379	1355
919	15396	1338
920	15413	1322
921	15431	1305
922	15448	1288
923	15464	1271
924	15481	1255
925	15494	1238
926	15512	1221
927	15526	1204
928	15540	1187
929	15554	1170
930	15569	1153
931	15587	1137
932	15603	1120
933	15618	1103
934	15637	1087
935	15654	1070
936	15672	1053
937	15686	1036
938	15702	1020
939	15716	1003
940	15729	986
941	15746	969
942	15763	952
943	15781	936
944	15797	919
945	15815	902
946	15830	885
947	15851	869
948	15871	852
949	15888	836
950	15904	819
951	15922	802
952	15938	786
953	15956	769
954	15971	752
955	15987	735
956	16003	719
957	16017	702
958	16031	685
959	16049	668
960	16066	652
961	16082	635
962	16099	618
963	16114	601
964	16130	585
965	16146	568
966	16163	551
967	16176	534
968	16191	517
969	16206	501
970	16223	484
971	16241	467
972	16254	451
973	16268	434
974	16284	417
975	16301	400
976	16315	384
977	16331	367
978	16349	350
979	16366	334
980	16382	317
981	16396	300
982	16413	283
983	16430	267
984	16447	250
985	16462	233
986	16478	217
987	16492	200
988	16508	183
989	16526	166
990	16543	150
991	16560	133
992	16577	116
993	16594	100
994	16611	83
995	16625	66
996	16641	50
997	16659	33
998	16675	16
999	16689	0
