iter	MultiClass
0	1.561395395
1	1.356813445
2	1.198238334
3	1.066425065
4	0.9647727391
5	0.8792197487
6	0.8037411099
7	0.7408187685
8	0.6858725057
9	0.6411000158
10	0.5896635325
11	0.5453351147
12	0.5107985134
13	0.483854511
14	0.4494353807
15	0.4248545801
16	0.4002410883
17	0.3765542046
18	0.35739017
19	0.338511301
20	0.3205143057
21	0.3084837954
22	0.2955825836
23	0.2807391966
24	0.266187049
25	0.2538920418
26	0.2445818588
27	0.2347793111
28	0.2251806907
29	0.2147597784
30	0.2044204537
31	0.1990076175
32	0.1902739955
33	0.1849342268
34	0.1794037933
35	0.1747990508
36	0.1687082826
37	0.1630084064
38	0.1578622143
39	0.1540073731
40	0.150041875
41	0.1452696484
42	0.1426471331
43	0.1396947182
44	0.1356509291
45	0.1315329702
46	0.1275176563
47	0.1250623482
48	0.1214955321
49	0.1183457127
50	0.1149328742
51	0.1121764503
52	0.1083212669
53	0.1060081899
54	0.1043600875
55	0.1018746105
56	0.0998076369
57	0.09840552803
58	0.09706412111
59	0.09534184516
60	0.09354493527
61	0.09101514494
62	0.0892620535
63	0.08759106838
64	0.08616544148
65	0.08418090788
66	0.08254020915
67	0.08043136286
68	0.07960314772
69	0.07803817156
70	0.07741377703
71	0.07641423933
72	0.07552986324
73	0.07494531006
74	0.07449965825
75	0.07346826345
76	0.07281287614
77	0.07213291353
78	0.07081722357
79	0.06978278254
80	0.06844799429
81	0.06771234473
82	0.06667878382
83	0.06560964705
84	0.06520553239
85	0.06441333454
86	0.06407181773
87	0.06342602363
88	0.06255771883
89	0.06148925406
90	0.06119263325
91	0.06038150511
92	0.05968257041
93	0.05936564528
94	0.05882632737
95	0.05848758581
96	0.0581145619
97	0.05701240465
98	0.05640213062
99	0.05618264007
100	0.05526494239
101	0.05449471369
102	0.05412924611
103	0.05364382407
104	0.05334961368
105	0.05294739165
106	0.05210315694
107	0.05153535395
108	0.05121290393
109	0.05076120342
110	0.05050356208
111	0.05035909018
112	0.05008904603
113	0.04925187158
114	0.04870529859
115	0.04840962776
116	0.04814579095
117	0.04779413398
118	0.04759375067
119	0.04714220882
120	0.04655584807
121	0.0462760783
122	0.04591938286
123	0.04574251928
124	0.04539130415
125	0.04522068008
126	0.04434659429
127	0.04401530847
128	0.04369242847
129	0.04323733839
130	0.04303672252
131	0.04241178363
132	0.04221080332
133	0.04193049056
134	0.04161385829
135	0.04100191088
136	0.0406789135
137	0.04028977575
138	0.0399603683
139	0.03945887119
140	0.03925779354
141	0.03906326925
142	0.03864451015
143	0.0384134004
144	0.03822368532
145	0.03791802339
146	0.03774001469
147	0.03756139727
148	0.0373355389
149	0.0369353053
150	0.03660304075
151	0.03630153033
152	0.03616157094
153	0.03591982539
154	0.03576262185
155	0.03545802166
156	0.03521648333
157	0.03499961281
158	0.03479060494
159	0.03461531418
160	0.03443167213
161	0.03422491497
162	0.03390045207
163	0.03372790649
164	0.03348043984
165	0.03328326433
